,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
12,KO/TKO,1,0:50,L,Jason MacDonald,0,1 of 8,12%,1 of 8,0 of 1,0%,0,0,0:02,1 of 8,0 of 0,0 of 0,1 of 7,0 of 1,0 of 0,W,Tom Lawlor,1,5 of 11,45%,5 of 11,0 of 0,---,0,0,0:01,5 of 11,0 of 0,0 of 0,4 of 10,0 of 0,1 of 1
13,KO/TKO,1,3:48,L,Jason MacDonald,0,2 of 7,28%,5 of 10,0 of 3,0%,0,0,0:25,0 of 5,2 of 2,0 of 0,0 of 4,2 of 3,0 of 0,W,Alan Belcher,0,25 of 39,64%,52 of 68,0 of 0,---,0,0,2:57,24 of 38,1 of 1,0 of 0,0 of 4,1 of 1,24 of 34
14,Submission,1,1:37,W,Jason MacDonald,0,0 of 1,0%,0 of 1,0 of 1,0%,1,0,0:39,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,L,Ryan Jensen,0,0 of 5,0%,6 of 12,0 of 0,---,1,1,0:45,0 of 5,0 of 0,0 of 0,0 of 2,0 of 0,0 of 3
15,KO/TKO,1,2:42,L,Jason MacDonald,0,5 of 7,71%,10 of 12,0 of 0,---,0,0,0:00,1 of 3,2 of 2,2 of 2,2 of 4,3 of 3,0 of 0,W,John Salter,0,3 of 7,42%,5 of 9,1 of 3,33%,0,0,1:12,2 of 4,1 of 1,0 of 2,1 of 4,2 of 3,0 of 0
16,KO/TKO,1,2:27,L,Jason MacDonald,0,1 of 1,100%,3 of 5,0 of 1,0%,0,0,0:27,0 of 0,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,W,Nate Quarry,0,16 of 34,47%,29 of 47,1 of 1,100%,0,0,1:47,15 of 33,1 of 1,0 of 0,0 of 1,1 of 1,15 of 32
17,KO/TKO,1,2:18,L,Jason MacDonald,0,6 of 13,46%,9 of 16,1 of 4,25%,0,0,0:37,0 of 7,1 of 1,5 of 5,2 of 9,4 of 4,0 of 0,W,Wilson Gouveia,1,18 of 28,64%,24 of 39,0 of 0,---,0,0,0:45,17 of 26,0 of 0,1 of 2,4 of 10,0 of 0,14 of 18
18,Submission,2,6:20,W,Jason MacDonald,0,10 of 18,55%,59 of 74,2 of 2,100%,1,0,5:56,10 of 18,0 of 0,0 of 0,3 of 8,1 of 2,6 of 8,L,Jason Lambert,0,1 of 5,20%,2 of 6,0 of 0,---,2,0,0:00,1 of 5,0 of 0,0 of 0,1 of 3,0 of 2,0 of 0
19,Submission,3,12:44,L,Jason MacDonald,0,7 of 15,46%,36 of 45,0 of 2,0%,4,1,5:16,4 of 12,0 of 0,3 of 3,2 of 8,2 of 2,3 of 5,W,Demian Maia,0,30 of 59,50%,103 of 145,2 of 4,50%,3,1,6:19,26 of 53,3 of 4,1 of 2,2 of 9,3 of 5,25 of 45
20,KO/TKO,2,5:54,W,Jason MacDonald,0,13 of 17,76%,25 of 29,1 of 2,50%,2,1,1:31,9 of 13,3 of 3,1 of 1,0 of 4,1 of 1,12 of 12,L,Joe Doerksen,0,4 of 6,66%,11 of 13,1 of 1,100%,3,0,3:47,1 of 3,1 of 1,2 of 2,2 of 4,0 of 0,2 of 2
21,Decision - Unanimous,3,15:00,L,Jason MacDonald,0,25 of 49,51%,69 of 95,0 of 9,0%,0,0,2:13,0 of 22,2 of 3,23 of 24,2 of 22,23 of 27,0 of 0,W,Yushin Okami,0,41 of 82,50%,78 of 123,1 of 1,100%,1,0,8:52,33 of 72,6 of 8,2 of 2,12 of 34,10 of 13,19 of 35
22,KO/TKO,2,8:18,W,Jason MacDonald,0,30 of 49,61%,81 of 107,2 of 7,28%,0,1,6:19,19 of 37,3 of 3,8 of 9,2 of 5,8 of 10,20 of 34,L,Rory Singer,0,17 of 25,68%,29 of 38,1 of 2,50%,1,0,0:48,10 of 18,5 of 5,2 of 2,0 of 0,15 of 21,2 of 4
23,KO/TKO,2,10:00,L,Jason MacDonald,0,16 of 27,59%,27 of 38,1 of 11,9%,0,0,1:57,0 of 11,3 of 3,13 of 13,4 of 14,11 of 12,1 of 1,W,Rich Franklin,0,49 of 89,55%,63 of 103,1 of 1,100%,0,1,4:55,44 of 83,3 of 4,2 of 2,10 of 24,9 of 11,30 of 54
24,Submission,2,9:03,W,Jason MacDonald,0,9 of 27,33%,35 of 53,1 of 5,20%,1,0,4:47,2 of 14,4 of 6,3 of 7,4 of 17,5 of 10,0 of 0,L,Chris Leben,0,15 of 34,44%,52 of 71,2 of 2,100%,0,0,1:48,13 of 30,2 of 2,0 of 2,3 of 11,10 of 18,2 of 5
25,Submission,1,2:26,L,Rob MacDonald,0,2 of 4,50%,6 of 8,0 of 1,0%,0,0,0:00,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0,W,Eric Schafer,0,7 of 10,70%,21 of 24,0 of 0,---,2,0,1:29,2 of 4,1 of 1,4 of 5,4 of 7,1 of 1,2 of 2
26,Submission,1,4:01,W,Rob MacDonald,0,10 of 17,58%,14 of 23,4 of 4,100%,3,0,2:48,9 of 16,0 of 0,1 of 1,1 of 4,0 of 0,9 of 13,L,Kristian Rothaermel,0,3 of 6,50%,16 of 19,0 of 3,0%,0,0,0:00,1 of 3,0 of 1,2 of 2,2 of 4,1 of 2,0 of 0
27,Submission,1,1:54,L,Rob MacDonald,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:20,3 of 9,0 of 0,0 of 0,1 of 4,2 of 5,0 of 0,W,Jason Lambert,1,7 of 16,43%,13 of 24,1 of 2,50%,1,0,1:00,5 of 14,1 of 1,1 of 1,2 of 7,4 of 7,1 of 2
