,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
330,KO/TKO,1,4:23,W,Sam Alvey,2,10 of 19,52%,14 of 23,1 of 1,100%,0,0,1:41,3 of 12,1 of 1,6 of 6,9 of 17,1 of 1,0 of 1,L,Marcin Prachnio,0,15 of 24,62%,36 of 45,0 of 0,---,0,0,0:14,3 of 10,4 of 6,8 of 8,12 of 20,3 of 4,0 of 0
331,Decision - Unanimous,3,15:00,L,Sam Alvey,0,29 of 70,41%,56 of 99,0 of 0,---,0,0,0:02,12 of 45,7 of 8,10 of 17,14 of 52,14 of 17,1 of 1,W,Ramazan Emeev,0,38 of 71,53%,51 of 84,1 of 9,11%,0,0,4:12,28 of 60,5 of 6,5 of 5,22 of 49,16 of 22,0 of 0
332,Decision - Split,3,15:00,W,Sam Alvey,0,40 of 87,45%,51 of 99,0 of 0,---,0,0,0:05,24 of 69,16 of 18,0 of 0,20 of 62,20 of 25,0 of 0,L,Rashad Evans,0,17 of 45,37%,28 of 58,2 of 8,25%,0,0,4:29,8 of 32,5 of 9,4 of 4,15 of 43,2 of 2,0 of 0
333,Decision - Unanimous,3,15:00,L,Sam Alvey,0,27 of 89,30%,50 of 112,0 of 0,---,0,0,0:21,22 of 83,5 of 6,0 of 0,20 of 81,7 of 8,0 of 0,W,Thales Leites,0,38 of 68,55%,44 of 75,1 of 7,14%,0,0,1:38,8 of 34,6 of 7,24 of 27,37 of 66,1 of 2,0 of 0
334,Decision - Unanimous,3,15:00,W,Sam Alvey,0,36 of 84,42%,45 of 95,0 of 1,0%,0,0,2:01,23 of 66,5 of 7,8 of 11,31 of 75,4 of 8,1 of 1,L,Nate Marquardt,0,28 of 65,43%,52 of 90,1 of 2,50%,0,0,1:52,13 of 41,7 of 14,8 of 10,22 of 53,6 of 12,0 of 0
335,Decision - Unanimous,3,15:00,W,Sam Alvey,0,63 of 138,45%,65 of 140,0 of 2,0%,0,0,0:40,39 of 110,13 of 15,11 of 13,62 of 136,1 of 2,0 of 0,L,Alex Nicholson,0,82 of 182,45%,82 of 182,0 of 0,---,0,0,0:00,51 of 141,16 of 25,15 of 16,81 of 180,1 of 2,0 of 0
336,KO/TKO,2,9:56,W,Sam Alvey,2,59 of 114,51%,70 of 125,0 of 0,---,0,0,0:31,36 of 88,13 of 15,10 of 11,29 of 72,17 of 19,13 of 23,L,Kevin Casey,0,25 of 51,49%,31 of 58,0 of 2,0%,0,0,2:36,11 of 35,7 of 9,7 of 7,21 of 47,4 of 4,0 of 0
337,Submission,1,2:43,W,Sam Alvey,0,8 of 15,53%,13 of 20,0 of 0,---,1,0,0:20,6 of 13,2 of 2,0 of 0,5 of 10,3 of 4,0 of 1,L,Eric Spicely,0,7 of 9,77%,8 of 10,0 of 4,0%,0,0,1:14,4 of 5,2 of 3,1 of 1,6 of 8,1 of 1,0 of 0
338,Decision - Unanimous,3,15:00,L,Sam Alvey,0,24 of 43,55%,30 of 54,0 of 0,---,0,0,1:34,5 of 19,10 of 10,9 of 14,15 of 32,9 of 11,0 of 0,W,Elias Theodorou,0,37 of 141,26%,87 of 194,0 of 4,0%,0,0,1:38,8 of 48,16 of 65,13 of 28,28 of 130,9 of 11,0 of 0
339,KO/TKO,1,2:19,L,Sam Alvey,0,4 of 11,36%,6 of 13,0 of 0,---,0,0,0:00,2 of 9,2 of 2,0 of 0,2 of 6,2 of 5,0 of 0,W,Derek Brunson,0,27 of 45,60%,53 of 71,0 of 1,0%,0,0,1:32,26 of 44,1 of 1,0 of 0,7 of 14,19 of 29,1 of 2
