,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
55,Decision - Unanimous,3,15:00,L,Fares Ziam,0,10 of 31,32%,70 of 96,0 of 4,0%,0,0,2:26,6 of 26,1 of 2,3 of 3,8 of 25,2 of 4,0 of 2,W,Don Madge,0,21 of 49,42%,72 of 111,3 of 12,25%,0,0,9:37,11 of 36,6 of 7,4 of 6,8 of 27,3 of 8,10 of 14
56,Decision - Unanimous,3,15:00,L,James Zikic,0,29 of 66,43%,55 of 93,0 of 1,0%,1,0,2:46,20 of 56,8 of 9,1 of 1,8 of 25,11 of 18,10 of 23,W,Phillip Miller,0,30 of 53,56%,82 of 114,4 of 22,18%,0,0,9:43,24 of 45,4 of 6,2 of 2,8 of 14,7 of 11,15 of 28
57,KO/TKO,1,1:01,L,Cat Zingano,0,3 of 6,50%,3 of 6,0 of 0,---,0,0,0:00,0 of 1,0 of 0,3 of 5,3 of 6,0 of 0,0 of 0,W,Megan Anderson,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:00,2 of 8,1 of 1,0 of 0,3 of 9,0 of 0,0 of 0
58,Decision - Unanimous,3,15:00,W,Cat Zingano,0,33 of 57,57%,94 of 123,6 of 10,60%,0,0,8:54,14 of 32,10 of 13,9 of 12,12 of 23,8 of 9,13 of 25,L,Marion Reneau,0,14 of 39,35%,35 of 62,0 of 0,---,0,0,1:16,10 of 34,3 of 4,1 of 1,8 of 33,6 of 6,0 of 0
59,Decision - Split,3,15:00,L,Cat Zingano,0,59 of 106,55%,77 of 128,0 of 2,0%,0,0,0:14,33 of 70,17 of 25,9 of 11,31 of 69,19 of 24,9 of 13,W,Ketlen Vieira,0,41 of 71,57%,96 of 139,2 of 2,100%,1,0,10:09,32 of 60,6 of 8,3 of 3,17 of 43,9 of 13,15 of 15
60,Decision - Unanimous,3,15:00,L,Cat Zingano,0,11 of 23,47%,23 of 37,3 of 4,75%,0,2,9:05,6 of 18,4 of 4,1 of 1,3 of 12,2 of 3,6 of 8,W,Julianna Pena,0,12 of 21,57%,129 of 150,2 of 3,66%,1,1,4:52,8 of 17,4 of 4,0 of 0,1 of 7,2 of 3,9 of 11
61,Submission,1,0:14,L,Cat Zingano,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:03,0 of 0,0 of 1,0 of 0,0 of 1,0 of 0,0 of 0,W,Ronda Rousey,0,0 of 0,---,0 of 0,0 of 0,---,1,1,0:05,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
62,KO/TKO,3,11:21,W,Cat Zingano,0,40 of 60,66%,93 of 116,3 of 3,100%,3,0,6:57,31 of 49,7 of 9,2 of 2,1 of 5,7 of 8,32 of 47,L,Amanda Nunes,0,22 of 37,59%,36 of 54,1 of 2,50%,0,0,3:08,19 of 34,1 of 1,2 of 2,1 of 2,1 of 3,20 of 32
63,KO/TKO,3,12:55,W,Cat Zingano,0,35 of 42,83%,107 of 120,1 of 1,100%,1,2,5:53,23 of 30,8 of 8,4 of 4,16 of 22,8 of 9,11 of 11,L,Miesha Tate,0,23 of 42,54%,54 of 80,3 of 7,42%,3,0,4:56,21 of 40,2 of 2,0 of 0,16 of 30,2 of 4,5 of 8
64,KO/TKO,1,0:22,L,Igor Zinoviev,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,W,Frank Shamrock,0,2 of 4,50%,2 of 4,1 of 1,100%,0,0,--,1 of 1,0 of 0,1 of 3,1 of 3,0 of 0,1 of 1
65,Decision - Majority,3,15:00,L,Allan Zuniga,0,59 of 112,52%,93 of 147,0 of 0,---,1,0,0:00,33 of 78,18 of 24,8 of 10,44 of 96,14 of 15,1 of 1,W,John Gunther,0,27 of 71,38%,94 of 152,8 of 19,42%,0,0,11:08,22 of 61,2 of 6,3 of 4,20 of 62,5 of 7,2 of 2
66,Decision - Unanimous,3,15:00,L,Virgil Zwicker,0,48 of 110,43%,65 of 142,3 of 11,27%,0,0,2:57,25 of 81,10 of 13,13 of 16,34 of 88,13 of 21,1 of 1,W,Guto Inocente,0,85 of 127,66%,101 of 148,1 of 3,33%,1,1,1:36,35 of 67,27 of 35,23 of 25,59 of 95,24 of 29,2 of 3
67,KO/TKO,1,2:17,L,Virgil Zwicker,0,19 of 32,59%,22 of 35,0 of 0,---,0,0,--,6 of 17,5 of 6,8 of 9,16 of 29,3 of 3,0 of 0,W,Lavar Johnson,0,26 of 60,43%,28 of 62,0 of 0,---,0,0,--,20 of 54,6 of 6,0 of 0,20 of 54,6 of 6,0 of 0
