,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
464,Submission,3,11:43,W,Gavin Tucker,0,87 of 211,41%,88 of 212,1 of 2,50%,4,1,1:24,61 of 177,23 of 30,3 of 4,86 of 207,1 of 3,0 of 1,L,Justin Jaynes,1,41 of 101,40%,42 of 103,0 of 1,0%,1,1,0:38,30 of 84,11 of 17,0 of 0,31 of 87,2 of 2,8 of 12
465,Submission,3,13:17,W,Gavin Tucker,0,37 of 62,59%,49 of 77,5 of 13,38%,2,1,6:05,21 of 40,7 of 11,9 of 11,24 of 45,5 of 7,8 of 10,L,SeungWoo Choi,0,23 of 96,23%,42 of 116,2 of 2,100%,0,0,0:49,11 of 74,12 of 21,0 of 1,13 of 80,10 of 16,0 of 0
466,Decision - Unanimous,3,15:00,L,Gavin Tucker,0,23 of 82,28%,43 of 105,0 of 4,0%,1,0,0:15,14 of 69,5 of 8,4 of 5,12 of 64,9 of 15,2 of 3,W,Rick Glenn,1,142 of 237,59%,184 of 289,4 of 7,57%,1,0,7:46,96 of 182,40 of 47,6 of 8,31 of 68,23 of 39,88 of 130
467,Decision - Unanimous,3,15:00,W,Gavin Tucker,0,55 of 163,33%,60 of 168,1 of 1,100%,0,0,0:15,25 of 120,12 of 25,18 of 18,53 of 159,2 of 4,0 of 0,L,Sam Sicilia,0,10 of 87,11%,10 of 88,0 of 0,---,0,0,0:26,9 of 80,0 of 5,1 of 2,9 of 84,1 of 3,0 of 0
468,KO/TKO,1,2:58,L,Jumabieke Tuerxun,0,6 of 15,40%,6 of 15,0 of 0,---,0,0,0:00,1 of 7,2 of 2,3 of 6,6 of 15,0 of 0,0 of 0,W,Marcus Brimage,1,5 of 16,31%,6 of 17,0 of 0,---,0,0,0:02,3 of 10,0 of 1,2 of 5,4 of 14,0 of 0,1 of 2
469,Submission,3,13:49,L,Jumabieke Tuerxun,0,33 of 127,25%,40 of 134,0 of 0,---,0,0,1:03,24 of 107,5 of 15,4 of 5,31 of 124,0 of 1,2 of 2,W,Leandro Issa,0,44 of 139,31%,71 of 170,2 of 8,25%,3,1,3:26,23 of 113,4 of 7,17 of 19,42 of 135,0 of 0,2 of 4
470,Decision - Unanimous,3,15:00,L,Jumabieke Tuerxun,0,12 of 34,35%,33 of 60,1 of 9,11%,2,0,0:50,6 of 28,4 of 4,2 of 2,3 of 14,7 of 18,2 of 2,W,Mark Eddiva,0,49 of 88,55%,141 of 189,4 of 10,40%,0,0,10:20,22 of 55,11 of 13,16 of 20,15 of 45,19 of 25,15 of 18
471,Submission,1,0:28,L,Tom Tuggle,0,0 of 0,---,1 of 1,1 of 1,100%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Daniel Puder,0,1 of 1,100%,3 of 3,0 of 0,---,1,0,--,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
472,KO/TKO,1,4:59,W,Tai Tuivasa,1,27 of 42,64%,48 of 63,0 of 0,---,0,0,1:44,15 of 28,4 of 4,8 of 10,14 of 28,10 of 11,3 of 3,L,Stefan Struve,0,13 of 19,68%,13 of 19,0 of 1,0%,0,0,0:00,4 of 6,4 of 8,5 of 5,13 of 19,0 of 0,0 of 0
473,Submission,2,8:14,L,Tai Tuivasa,0,21 of 50,42%,22 of 51,0 of 0,---,0,0,0:05,8 of 32,4 of 8,9 of 10,17 of 39,4 of 9,0 of 2,W,Serghei Spivac,0,23 of 42,54%,40 of 60,6 of 8,75%,1,0,4:21,22 of 41,1 of 1,0 of 0,8 of 27,1 of 1,14 of 14
474,Decision - Unanimous,3,15:00,L,Tai Tuivasa,0,64 of 144,44%,66 of 146,0 of 0,---,0,0,2:39,39 of 114,6 of 7,19 of 23,50 of 126,14 of 18,0 of 0,W,Blagoy Ivanov,1,73 of 123,59%,81 of 131,2 of 2,100%,0,0,2:38,65 of 114,7 of 8,1 of 1,62 of 111,5 of 6,6 of 6
475,KO/TKO,2,7:30,L,Tai Tuivasa,0,16 of 42,38%,16 of 46,0 of 0,---,0,0,1:15,9 of 33,4 of 4,3 of 5,10 of 32,6 of 10,0 of 0,W,Junior Dos Santos,1,26 of 65,40%,37 of 77,0 of 0,---,0,0,0:48,20 of 55,4 of 7,2 of 3,15 of 37,0 of 1,11 of 27
476,Decision - Unanimous,3,15:00,W,Tai Tuivasa,1,54 of 120,45%,54 of 120,0 of 0,---,0,0,1:39,36 of 98,12 of 15,6 of 7,49 of 109,5 of 11,0 of 0,L,Andrei Arlovski,0,51 of 125,40%,52 of 126,0 of 2,0%,0,0,0:38,32 of 97,7 of 10,12 of 18,46 of 116,5 of 7,0 of 2
477,KO/TKO,1,2:18,W,Tai Tuivasa,0,38 of 51,74%,39 of 52,0 of 0,---,0,0,0:25,30 of 43,8 of 8,0 of 0,26 of 37,12 of 14,0 of 0,L,Cyril Asker,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,2 of 10,1 of 1,0 of 0,1 of 8,2 of 3,0 of 0
478,KO/TKO,1,4:35,W,Tai Tuivasa,1,22 of 36,61%,22 of 36,0 of 2,0%,0,0,1:14,16 of 29,3 of 4,3 of 3,14 of 25,6 of 9,2 of 2,L,Rashad Coulter,0,10 of 19,52%,19 of 28,0 of 2,0%,0,0,0:38,2 of 11,7 of 7,1 of 1,3 of 10,7 of 7,0 of 2
