,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
280,Submission,4,18:47,L,Kevin Lee,0,35 of 97,36%,40 of 102,6 of 16,37%,0,0,8:42,23 of 79,10 of 16,2 of 2,27 of 86,7 of 10,1 of 1,W,Rafael Dos Anjos,0,60 of 111,54%,75 of 126,4 of 7,57%,1,1,3:53,36 of 83,17 of 21,7 of 7,33 of 80,18 of 20,9 of 11
281,Decision - Unanimous,5,25:00,L,Kevin Lee,0,102 of 296,34%,121 of 319,3 of 5,60%,0,0,5:25,80 of 267,14 of 21,8 of 8,81 of 273,1 of 1,20 of 22,W,Al Iaquinta,0,111 of 228,48%,113 of 230,0 of 7,0%,0,0,0:14,82 of 189,19 of 28,10 of 11,110 of 226,0 of 0,1 of 2
282,TKO - Doctor's Stoppage,5,22:18,W,Kevin Lee,0,142 of 241,58%,233 of 344,4 of 9,44%,0,0,15:01,138 of 236,3 of 4,1 of 1,46 of 122,0 of 0,96 of 119,L,Edson Barboza,0,51 of 106,48%,64 of 119,0 of 1,0%,0,0,0:10,26 of 73,20 of 26,5 of 7,47 of 102,2 of 2,2 of 2
283,Submission,3,14:02,L,Kevin Lee,0,55 of 119,46%,71 of 137,3 of 6,50%,0,0,4:49,41 of 101,14 of 18,0 of 0,35 of 90,0 of 1,20 of 28,W,Tony Ferguson,0,54 of 103,52%,57 of 106,0 of 0,---,2,0,0:02,40 of 81,6 of 13,8 of 9,40 of 85,1 of 1,13 of 17
284,Submission,1,4:37,W,Kevin Lee,0,22 of 30,73%,37 of 45,1 of 1,100%,1,0,3:33,19 of 27,1 of 1,2 of 2,3 of 4,0 of 0,19 of 26,L,Michael Chiesa,0,4 of 9,44%,9 of 14,0 of 0,---,0,0,0:08,3 of 8,1 of 1,0 of 0,2 of 7,0 of 0,2 of 2
285,Submission,2,8:12,W,Kevin Lee,0,15 of 43,34%,23 of 52,1 of 8,12%,1,0,2:37,9 of 36,6 of 7,0 of 0,12 of 36,3 of 3,0 of 4,L,Francisco Trinaldo,0,25 of 59,42%,30 of 65,0 of 1,0%,1,0,0:45,19 of 52,6 of 7,0 of 0,15 of 47,5 of 6,5 of 6
286,Submission,2,9:31,W,Kevin Lee,0,20 of 28,71%,46 of 54,7 of 9,77%,2,0,6:37,13 of 21,7 of 7,0 of 0,1 of 8,7 of 7,12 of 13,L,Magomed Mustafaev,0,20 of 34,58%,34 of 49,0 of 2,0%,1,0,1:01,11 of 20,9 of 14,0 of 0,11 of 22,6 of 9,3 of 3
287,KO/TKO,1,4:06,W,Kevin Lee,0,24 of 38,63%,36 of 51,1 of 2,50%,0,0,2:35,21 of 35,3 of 3,0 of 0,2 of 6,2 of 3,20 of 29,L,Jake Matthews,0,5 of 13,38%,5 of 13,0 of 0,---,0,0,0:00,4 of 11,1 of 2,0 of 0,4 of 11,1 of 2,0 of 0
288,Decision - Unanimous,3,15:00,W,Kevin Lee,0,64 of 160,40%,99 of 200,1 of 4,25%,1,0,4:16,44 of 134,17 of 23,3 of 3,44 of 135,12 of 12,8 of 13,L,Efrain Escudero,0,70 of 114,61%,96 of 141,1 of 7,14%,0,0,2:13,34 of 69,13 of 18,23 of 27,53 of 96,17 of 18,0 of 0
289,KO/TKO,1,3:26,L,Kevin Lee,0,10 of 46,21%,10 of 46,0 of 0,---,0,0,0:00,5 of 40,5 of 6,0 of 0,10 of 46,0 of 0,0 of 0,W,Leonardo Santos,1,32 of 48,66%,32 of 48,1 of 1,100%,0,0,0:30,22 of 38,6 of 6,4 of 4,18 of 30,0 of 0,14 of 18
290,Submission,1,2:56,W,Kevin Lee,0,9 of 28,32%,9 of 28,1 of 2,50%,1,0,1:08,4 of 20,5 of 8,0 of 0,8 of 27,1 of 1,0 of 0,L,James Moontasri,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:06,1 of 12,1 of 2,4 of 4,6 of 18,0 of 0,0 of 0
